Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.103	msA.hmt:1.116 (29) vs msAim.hmt:1.136 (9): 1.0 (11.11%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.110	msA.hmt:1.124 (12) vs msAil.hmt:1.361 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.124	msA.hmt:1.134 (22) vs msAil.hmt:1.374 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.136	msA.hmt:1.422 (36) vs msAil.hmt:1.440 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.137	msA.hmt:1.423 (19) vs msAil.hmt:1.441 (3): 1.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.140	msAim.hmt:1.140 (12) vs msAil.hmt:1.447 (4): 1.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.142	msAint.hmt:1.432 (7) vs msAil.hmt:1.448 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.147	msA.hmt:1.426 (20) vs msAil.hmt:1.449 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.148	msA.hmt:1.427 (30) vs msAil.hmt:1.450 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.153	msA.hmt:1.478 (66) vs msAil.hmt:1.507 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.156	msAim.hmt:1.497 (6) vs msAint.hmt:1.502 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.157	msA.hmt:1.484 (27) vs msAil.hmt:1.509 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.171	msAint.hmt:1.505 (16) vs msA.hmt:1.488 (12): 1.0 (8.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.174	msA.hmt:1.494 (41) vs msAil.hmt:1.524 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.184	msAext.hmt:1.564 (11) vs msAim.hmt:1.566 (6): 1.0 (16.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.19	msA.hmt:1.15 (38) vs msAim.hmt:1.23 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.192	msAint.hmt:1.570 (8) vs msAil.hmt:1.582 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.198	msAil.hmt:1.586 (12) vs msAint.hmt:1.572 (7): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.203	msAim.hmt:1.612 (10) vs msAil.hmt:1.622 (6): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.21	msA.hmt:1.16 (22) vs msAil.hmt:1.329 (4): 1.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.212	msA.hmt:1.599 (9) vs msAint.hmt:1.618 (6): 1.0 (16.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.218	msAim.hmt:1.614 (9) vs msAil.hmt:1.634 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.227	msA.hmt:1.653 (23) vs msAil.hmt:1.674 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.232	msA.hmt:1.657 (25) vs msAil.hmt:1.680 (11): 2.0 (18.18%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.233	msA.hmt:1.658 (9) vs msAil.hmt:1.681 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.240	msAil.hmt:1.687 (7) vs msAim.hmt:1.670 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.260	msA.hmt:1.724 (21) vs msAil.hmt:1.757 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.263	msA.hmt:1.726 (75) vs msAil.hmt:1.760 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.270	msA.hmt:1.732 (11) vs msAil.hmt:1.767 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.271	msA.hmt:1.861 (16) vs msAim.hmt:1.737 (10): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.276	msAil.hmt:1.774 (4) vs msAint.hmt:1.742 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.295	msAim.hmt:1.806 (11) vs msAil.hmt:1.830 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.298	msA.hmt:1.801 (22) vs msAint.hmt:1.809 (5): 3.0 (60.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.30	msAint.hmt:1.55 (7) vs msAil.hmt:1.278 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.301	msAim.hmt:1.807 (4) vs msAil.hmt:1.834 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.307	msA.hmt:1.864 (7) vs msAil.hmt:1.884 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.312	msA.hmt:1.865 (86) vs msAil.hmt:1.890 (4): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.32	msAim.hmt:1.47 (5) vs msAil.hmt:1.279 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.321	msA.hmt:1.869 (23) vs msAil.hmt:1.896 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.323	msA.hmt:1.871 (17) vs msAil.hmt:1.897 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.325	msAim.hmt:1.876 (8) vs msAil.hmt:1.898 (4): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.330	msA.hmt:1.928 (11) vs msAil.hmt:1.946 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.336	msA.hmt:1.933 (38) vs msAil.hmt:1.954 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.341	msAim.hmt:1.940 (8) vs msAil.hmt:1.959 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.349	msA.hmt:1.938 (10) vs msAil.hmt:1.967 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.356	msAint.hmt:1.1002 (8) vs msAil.hmt:1.1009 (4): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.358	msA.hmt:1.991 (19) vs msAil.hmt:1.1010 (2): 2.0 (100.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.36	msAim.hmt:1.49 (5) vs msAil.hmt:1.284 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.361	msA.hmt:1.992 (14) vs msAil.hmt:1.1013 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.368	msA.hmt:1.998 (74) vs msAil.hmt:1.1024 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.383	msA.hmt:1.1032 (10) vs msAil.hmt:1.1044 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.392	msA.hmt:1.1034 (27) vs msAil.hmt:1.1045 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.4	msA.hmt:1.8 (76) vs msAil.hmt:1.324 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.404	msA.hmt:1.1060 (36) vs msAim.hmt:1.1072 (6): 1.0 (16.67%)
